yr,GDP.US05,GPI.adj.US05
1970,227351646043.63,22630.58289
1971,236464207254.56,23149.81347
1972,245715312692.12,23190.27838
1973,252099749934.19,24315.38743
1974,262424430592.93,24340.98817
1975,265934217667.61,24123.75269
1976,272821519139.67,23924.96463
1977,282662150216.48,22610.05288
1978,285196996437.08,22207.1838
1979,296757172318.50,21688.29422
1980,305812149303.55,20987.6187
1981,316082096440.66,20811.91076
1982,326577819354.51,19882.4887
1983,319293129709.76,20134.74743
1984,334071750691.34,20587.0167
1985,351609283247.69,20701.28476
1986,365987095211.48,19870.70106
1987,375448012481.96,19532.05488
1988,397211429021.01,19987.47099
1989,412686762121.70,19908.17926
1990,427251010143.55,19534.99828
1991,425431120549.27,19546.62924
1992,427150095213.04,20160.94144
1993,444302782695.42,19751.19779
1994,462273622298.03,19990.08754
1995,480215384717.27,20140.10062
1996,499170857568.41,20339.7869
1997,518855540567.13,20436.05368
1998,541845330075.25,20591.57494
1999,568960658776.41,20668.39994
2000,590990901233.42,20578.95431
2001,602389157113.35,21131.99575
2002,625660026060.69,21480.45239
2003,644925655534.41,21016.14897
2004,671732538035.54,21382.87011
2005,693338595699.90,21321.19444
2006,714074048285.79,21397.22377
2007,740924261491.54,
2008,768355448223.79,
2009,781661965529.79,
2010,797001034967.25,
2011,815503245842.37,
2012,845903726123.17,
2013,867152305474.36,
