age,pdF.avg,pdM.avg
0,0.011734903,0.012655257
1,0.011734903,0.012655257
2,0.011734903,0.012655257
3,0.011734903,0.012655257
4,0.011734903,0.012655257
5,0.01211533,0.013360931
6,0.01211533,0.013360931
7,0.01211533,0.013360931
8,0.01211533,0.013360931
9,0.01211533,0.013360931
10,0.010888498,0.012175015
11,0.010888498,0.012175015
12,0.010888498,0.012175015
13,0.010888498,0.012175015
14,0.010888498,0.012175015
15,0.026691708,0.030875968
16,0.026691708,0.030875968
17,0.026691708,0.030875968
18,0.026691708,0.030875968
19,0.026691708,0.030875968
20,0.038258447,0.042292191
21,0.038258447,0.042292191
22,0.038258447,0.042292191
23,0.038258447,0.042292191
24,0.038258447,0.042292191
25,0.034935167,0.027297117
26,0.034935167,0.027297117
27,0.034935167,0.027297117
28,0.034935167,0.027297117
29,0.034935167,0.027297117
30,0.023466092,0.022647256
31,0.023466092,0.022647256
32,0.023466092,0.022647256
33,0.023466092,0.022647256
34,0.023466092,0.022647256
35,0.016063128,0.015963229
36,0.016063128,0.015963229
37,0.016063128,0.015963229
38,0.016063128,0.015963229
39,0.016063128,0.015963229
40,0.010899515,0.010888853
41,0.010899515,0.010888853
42,0.010899515,0.010888853
43,0.010899515,0.010888853
44,0.010899515,0.010888853
45,0.005638823,0.005669326
46,0.005638823,0.005669326
47,0.005638823,0.005669326
48,0.005638823,0.005669326
49,0.005638823,0.005669326
50,0.003473659,0.002540907
51,0.003473659,0.002540907
52,0.003473659,0.002540907
53,0.003473659,0.002540907
54,0.003473659,0.002540907
55,0.002579762,0.001572837
56,0.002579762,0.001572837
57,0.002579762,0.001572837
58,0.002579762,0.001572837
59,0.002579762,0.001572837
60,0.001753323,0.001337424
61,0.001753323,0.001337424
62,0.001753323,0.001337424
63,0.001753323,0.001337424
64,0.001753323,0.001337424
65,0.000208562,0.000100512
66,0.000208562,0.000100512
67,0.000208562,0.000100512
68,0.000208562,0.000100512
69,0.000208562,0.000100512
70,0.000208562,0.000100512
71,0.000208562,0.000100512
72,0.000208562,0.000100512
73,0.000208562,0.000100512
74,0.000208562,0.000100512
75,0.000208562,0.000100512
76,0.000208562,0.000100512
77,0.000208562,0.000100512
78,0.000208562,0.000100512
79,0.000208562,0.000100512
80,0.000208562,0.000100512
81,0.000208562,0.000100512
82,0.000208562,0.000100512
83,0.000208562,0.000100512
84,0.000208562,0.000100512
85,0.000208562,0.000100512
86,0.000208562,0.000100512
87,0.000208562,0.000100512
88,0.000208562,0.000100512
89,0.000208562,0.000100512
90,0.000208562,0.000100512
91,0.000208562,0.000100512
92,0.000208562,0.000100512
93,0.000208562,0.000100512
94,0.000208562,0.000100512
95,0.000208562,0.000100512
96,0.000208562,0.000100512
97,0.000208562,0.000100512
98,0.000208562,0.000100512
99,0.000208562,0.000100512
100,0.000208562,0.000100512
