yr,wvegext
1972,113951051.2
1973,
1974,
1975,
1976,
1977,109903219
1978,
1979,
1980,108581755.5
1981,
1982,
1983,
1984,
1985,106144021.2
1986,
1987,
1988,105378658.9
1989,105803510.1
1990,
1991,105938195.2
1992,105984871.5
1993,
1994,
1995,105978842
1996,
1997,
1998,106074779.6
1999,
2000,106661523.7
2001,106138981.4
2002,105920092.4
2003,105607890.4
2004,105234052.4
2005,105109297.4
2006,104932305.4
2007,104745953.4
2008,104373212.4
2009,104167367.4
2010,103963626.4
2011,103672802.4
2012,103566482.4
2013,103478457.4
