Mf,Mm
0.00342,0.00476
0.00029,0.00039
0.00016,0.00021
0.00012,0.00016
0.0001,0.00012
0.00009,0.00011
0.00008,0.00011
0.00007,0.0001
0.00007,0.0001
0.00007,0.00009
0.00007,0.0001
0.00007,0.0001
0.00008,0.00011
0.00009,0.00013
0.00012,0.00016
0.00017,0.00024
0.00021,0.00035
0.00024,0.00046
0.00026,0.00055
0.00027,0.00061
0.00027,0.00063
0.00026,0.00062
0.00026,0.00061
0.00027,0.00061
0.00028,0.00064
0.00028,0.00068
0.00028,0.00071
0.00029,0.00074
0.00031,0.00077
0.00033,0.0008
0.00035,0.00084
0.00038,0.00087
0.0004,0.00091
0.00043,0.00095
0.00047,0.00099
0.0005,0.00103
0.00055,0.00108
0.0006,0.00114
0.00065,0.0012
0.00071,0.00127
0.00078,0.00135
0.00085,0.00144
0.00094,0.00155
0.00102,0.00167
0.00112,0.0018
0.00122,0.00194
0.00133,0.00211
0.00144,0.00229
0.00157,0.00249
0.0017,0.00271
0.00183,0.00294
0.00198,0.0032
0.00214,0.00348
0.0023,0.00379
0.00249,0.00411
0.00269,0.00446
0.00291,0.00484
0.00316,0.00526
0.00343,0.00572
0.00374,0.00622
0.00407,0.00678
0.00444,0.00741
0.00485,0.0081
0.00529,0.00886
0.00578,0.0097
0.00632,0.01063
0.0069,0.01167
0.00755,0.01283
0.00836,0.01413
0.00941,0.0156
0.01063,0.01725
0.01195,0.01911
0.01328,0.02119
0.0147,0.02353
0.01628,0.02619
0.01809,0.02921
0.02023,0.03269
0.02277,0.03668
0.02579,0.04126
0.02936,0.04648
0.03357,0.05241
0.03847,0.0591
0.04415,0.06662
0.05066,0.07501
0.0581,0.08432
0.06665,0.09459
0.07649,0.10585
0.0871,0.11814
0.0984,0.13153
0.11246,0.14637
0.12677,0.16163
0.14158,0.17239
0.15996,0.18875
0.1762,0.20208
0.19487,0.22003
0.2149,0.2366
0.22839,0.25205
0.25055,0.27063
0.26492,0.28683
0.28126,0.30597
0.29997,0.32609
